,seqno,object_type,v_object_name,object_name,field_name,data_type,pk_fk,required,sample_value
33,2,View,A_Admission_Diagnosis,PatientAddress,CITTYUID,int,FK,N,109693
34,2,View,A_Admission_Diagnosis,PatientVisit,UID,bigint,PK,Y,1
35,2,View,A_Admission_Diagnosis,PatientVisit,PatientUID,bigint,FK,Y,0
36,2,View,A_Admission_Diagnosis,PatientVisit,ENTYPUID,int,FK,Y,1379
37,2,View,A_Admission_Diagnosis,PatientVisit,CareProviderUID,int,FK,N,
38,2,View,A_Admission_Diagnosis,PatientVisit,LocationUID,int,FK,N,
39,2,View,A_Admission_Diagnosis,PatientVisit,EndDttm,datetime,,N,
40,2,View,A_Admission_Diagnosis,PatientVisit,OrganisationUID,int,FK,N,
41,2,View,A_Admission_Diagnosis,PatientVisit,ArrivedDttm,datetime,,N,Dec 17 2005  2:57PM
42,2,View,A_Admission_Diagnosis,PatientVisit,VISTYUID,int,FK,Y,444
43,2,View,A_Admission_Diagnosis,PatientVisit,StatusFlag,nvarchar,,Y,A
44,2,View,A_Admission_Diagnosis,PatientVisit,ReferredByUID,int,FK,N,
45,2,View,A_Admission_Diagnosis,PatientProblem,ProblemUID,int,FK,N,1
46,2,View,A_Admission_Diagnosis,PatientProblem,PatientVisitUID,bigint,FK,N,0
47,2,View,A_Admission_Diagnosis,Location,UID,int,PK,Y,1
52,3,View,A_AdmissionDiag,Patient,Forename,nvarchar,,N,VCT024
53,3,View,A_AdmissionDiag,Patient,Surname,nvarchar,,N,
55,3,View,A_AdmissionDiag,Patient,TITLEUID,int,FK,N,112425
57,3,View,A_AdmissionDiag,Patient,PASID,nvarchar,,Y,18-00-000001
58,3,View,A_AdmissionDiag,AdmissionEvent,UID,bigint,PK,Y,1
59,3,View,A_AdmissionDiag,AdmissionEvent,PatientVisitUID,bigint,FK,Y,127181
60,3,View,A_AdmissionDiag,DischargeEvent,AdmissionEventUID,bigint,FK,Y,0
61,3,View,A_AdmissionDiag,DischargeEvent,DSCSTUID,int,FK,Y,68041
63,3,View,A_AdmissionDiag,Careprovider,SurName,nvarchar,,N,
64,3,View,A_AdmissionDiag,Careprovider,Code,nvarchar,,N,
66,3,View,A_AdmissionDiag,ReferenceValue,ValueCode,nvarchar,,Y,1
68,3,View,A_AdmissionDiag,ReferenceValue,ReferenceDomainUID,int,FK,Y,1
72,3,View,A_AdmissionDiag,PatientAddress,Line4,nvarchar,,N, _.________
74,3,View,A_AdmissionDiag,PatientAddress,Pincode,nvarchar,,N,10110
77,3,View,A_AdmissionDiag,PatientAddress,AREAUID,int,FK,N,100630
82,3,View,A_AdmissionDiag,PatientVisit,StartDTTM,datetime,,Y,Sep  1 2004 12:06AM
86,3,View,A_AdmissionDiag,PatientProblem,DIAGTYPUID,int,FK,N,55625
88,3,View,A_AdmissionDiag,Location,Name,nvarchar,,Y,ICU
89,3,View,A_AdmissionDiag,Location,LOTYPUID,int,FK,Y,238
90,3,View,A_AdmissionDiag,Location,Code,nvarchar,,N,18AR
92,4,View,A_BDTAC,PayorAgreement,Code,nvarchar,,Y,1251000C010
93,4,View,A_BDTAC,PayorAgreement,Name,nvarchar,,Y,  OPD Cash 10 % _____
94,4,View,A_BDTAC,PayorAgreement,StatusFlag,nvarchar,,Y,A
95,4,View,A_BDTAC,PayorAgreement,InsuranceCompanyUID,int,FK,N,108
96,4,View,A_BDTAC,PatientBillableItem,UID,bigint,PK,Y,6
98,4,View,A_BDTAC,PatientBillableItem,PatientOrderDetailUID,bigint,FK,N,
100,4,View,A_BDTAC,PatientOrder,UID,bigint,PK,Y,20
101,4,View,A_BDTAC,PatientOrder,OrderToLocaTionLocUID,int,FK,N,
102,4,View,A_BDTAC,PatientBilledItem,UID,bigint,PK,Y,267
103,4,View,A_BDTAC,PatientBilledItem,PatientBillUID,bigint,FK,Y,1
104,4,View,A_BDTAC,PatientBilledItem,EventOccuredDttm,datetime,,Y,Jun  8 2014  2:34AM
105,4,View,A_BDTAC,PatientBilledItem,ServiceName,nvarchar,,Y,Lab Test
106,4,View,A_BDTAC,PatientBilledItem,BillableItemUID,int,FK,Y,0
107,4,View,A_BDTAC,PatientBilledItem,StatusFlag,nvarchar,,Y,A
108,4,View,A_BDTAC,PatientBilledItem,PatientBillableItemUID,bigint,FK,N,0
109,4,View,A_BDTAC,PatientBilledItem,Discount,float,,N,0
110,4,View,A_BDTAC,PatientBilledItem,NetAmount,float,,N,120
111,4,View,A_BDTAC,PatientBilledItem,ItemMultiplier,float,,N,1
112,4,View,A_BDTAC,PatientBilledItem,ItemName,nvarchar,,N,Chest AP Upright
113,4,View,A_BDTAC,PatientBilledItem,CareProviderUID,int,FK,N,1053
114,4,View,A_BDTAC,PatientBilledItem,BillPackageUID,int,FK,N,
115,4,View,A_BDTAC,PatientBilledItem,GroupUID,int,FK,N,4
116,4,View,A_BDTAC,PatientBilledItem,SubGroupUID,int,FK,N,56
117,4,View,A_BDTAC,BillPackage,UID,int,PK,Y,4300
118,4,View,A_BDTAC,BillPackage,PackageName,nvarchar,,Y, Mobile ________ ABO Group ____ 90 ___ 
119,4,View,A_BDTAC,PayorDetail,UID,int,PK,Y,2946
120,4,View,A_BDTAC,PayorDetail,Line1,nvarchar,,N,106 ____ 7 
121,4,View,A_BDTAC,PayorDetail,Line2,nvarchar,,N,106 ____ 7 
122,4,View,A_BDTAC,PayorDetail,PayorName,nvarchar,,N,18 _____ ___. (C)
123,4,View,A_BDTAC,PayorDetail,PYRACATUID,int,FK,N,45925
124,4,View,A_BDTAC,PayorDetail,Code,nvarchar,,N,123456789
125,4,View,A_BDTAC,PatientServiceEvent,PatientVisitUID,bigint,FK,Y,0
126,4,View,A_BDTAC,PatientServiceEvent,LocationUID,int,FK,N,62
127,4,View,A_BDTAC,PatientServiceEvent,IdentifyingType,nvarchar,,N,REGISTRATION
132,4,View,A_BDTAC,Patient,PATTPUID,int,FK,N,
133,4,View,A_BDTAC,PatientOrderDetail,UID,bigint,PK,Y,68
135,4,View,A_BDTAC,PatientOrderDetail,PatientOrderUID,bigint,FK,Y,0
136,4,View,A_BDTAC,PatientOrderDetail,StartDttm,datetime,,Y,Jun  8 2014 12:00AM
137,4,View,A_BDTAC,PatientOrderDetail,Quantity,float,,N,1
138,4,View,A_BDTAC,PatientOrderDetail,OrderSetUID,int,FK,N,
139,4,View,A_BDTAC,PrescriptionItem,PrescriptionUID,bigint,FK,Y,1
140,4,View,A_BDTAC,PrescriptionItem,PatientOrderDetailUID,bigint,FK,N,
141,4,View,A_BDTAC,BillableItem,UID,int,PK,Y,46362
143,4,View,A_BDTAC,BillableItem,StatusFlag,nvarchar,,Y,A
145,4,View,A_BDTAC,BillableItem,ORDCTUID,int,FK,N,0
147,4,View,A_BDTAC,PatientBill,UID,bigint,PK,Y,1
149,4,View,A_BDTAC,PatientBill,PatientUID,bigint,FK,N,6
150,4,View,A_BDTAC,PatientBill,BillGeneratedDttm,datetime,,N,Jun  8 2014  3:25AM
151,4,View,A_BDTAC,PatientBill,MUser,int,,Y,2441
152,4,View,A_BDTAC,PatientBill,StatusFlag,nvarchar,,Y,A
153,4,View,A_BDTAC,PatientBill,BillNumber,nvarchar,,N,18-CI14110001
154,4,View,A_BDTAC,PatientBill,PayorUID,int,FK,N,2614
156,4,View,A_BDTAC,InsuranceCompany,UID,int,PK,Y,2146
160,4,View,A_BDTAC,PatientVisit,ServiceUID,int,FK,N,
163,4,View,A_BDTAC,PatientVisit,OwnerOrganisationUID,int,FK,Y,18
164,4,View,A_BDTAC,PatientVisit,ExpectedDischargeDttm,datetime,,N,Dec  2 2017  4:09AM
165,4,View,A_BDTAC,PatientVisit,BedUID,int,FK,N,
166,4,View,A_BDTAC,PatientVisit,PACLSUID,int,FK,N,
167,4,View,A_BDTAC,Service,UID,int,PK,Y,1
168,4,View,A_BDTAC,Service,Code,nvarchar,,N,
171,5,View,a1,Problem,StatusFlag,nvarchar,,Y,A
172,5,View,a1,Problem,IsChapter,nvarchar,,N,N
175,6,View,BDMSMasterPayor,PayorAgreement,ActiveFrom,datetime,,Y,Jun 10 2004 12:00AM
176,6,View,BDMSMasterPayor,PayorAgreement,ActiveTo,datetime,,N,
179,6,View,BDMSMasterPayor,PayorAgreement,PolicyMasterUID,int,FK,N,8
180,6,View,BDMSMasterPayor,PayorDetail,ContactPersonName,nvarchar,,Y,
181,6,View,BDMSMasterPayor,PayorDetail,StatusFlag,nvarchar,,Y,A
184,6,View,BDMSMasterPayor,PayorDetail,InsuranceCompanyUID,int,FK,N,2
185,6,View,BDMSMasterPayor,PolicyMaster,UID,int,PK,Y,1
186,6,View,BDMSMasterPayor,PolicyMaster,PolicyName,nvarchar,,Y,01.Cover all
187,6,View,BDMSMasterPayor,PolicyMaster,StatusFlag,nvarchar,,Y,A
189,6,View,BDMSMasterPayor,InsuranceCompany,CompanyName,nvarchar,,Y,(_______) SCG Card(________ _____ ___________)
190,6,View,BDMSMasterPayor,InsuranceCompany,Description,nvarchar,,N,18A0005B058
191,6,View,BDMSMasterPayor,InsuranceCompany,StatusFlag,nvarchar,,Y,A
192,6,View,BDMSMasterPayor,InsuranceCompany,ActiveFrom,datetime,,N,Dec 30 2011 12:00AM
193,6,View,BDMSMasterPayor,InsuranceCompany,Activeto,datetime,,N,Jan 29 2012 12:00AM
194,7,View,BDMSReportPatientAllergyForCheck,PatientAllergy,UID,bigint,PK,Y,0
195,7,View,BDMSReportPatientAllergyForCheck,PatientAllergy,AllergyDescription,nvarchar,,N,#NAME?
196,7,View,BDMSReportPatientAllergyForCheck,PatientAllergy,ALGTYUID,int,FK,N,95
197,7,View,BDMSReportPatientAllergyForCheck,PatientAllergy,PatientUID,bigint,FK,Y,6
198,7,View,BDMSReportPatientAllergyForCheck,PatientAllergy,AllergicTo,nvarchar,,N,Sulfa group 
199,7,View,BDMSReportPatientAllergyForCheck,PatientAllergy,ALGSTUID,int,FK,N,46027
200,7,View,BDMSReportPatientAllergyForCheck,PatientAllergy,AllergySymptoms,nvarchar,,N,
201,7,View,BDMSReportPatientAllergyForCheck,PatientAllergicDrug,PatientAllergyUID,bigint,FK,Y,0
202,7,View,BDMSReportPatientAllergyForCheck,PatientAllergicDrug,DrugName,nvarchar,,Y,0707I Sulfa group
203,7,View,BDMSReportPatientAllergyForCheck,PatientAllergicDrug,IdentifyingType,nvarchar,,N,FREE
207,8,View,BNH_Vaccine_Bconnect,PatientOrder,PatientVisitUID,bigint,FK,Y,127181
212,8,View,BNH_Vaccine_Bconnect,PatientOrderDetail,ItemName,nvarchar,,N,
214,8,View,BNH_Vaccine_Bconnect,PatientOrderDetail,CancelledByUserUID,int,FK,N,2444
215,8,View,BNH_Vaccine_Bconnect,BillableItem,ItemName,nvarchar,,Y,-
216,8,View,BNH_Vaccine_Bconnect,BillableItem,ServiceUID,int,FK,N,
217,8,View,BNH_Vaccine_Bconnect,BillableItem,Code,nvarchar,,N,/SSH18A0705A000O-03
221,9,View,bnh_Vaccine_MTandBconnect,KIT_Vaccine_MT,HN,nvarchar,,N,
222,9,View,bnh_Vaccine_MTandBconnect,KIT_Vaccine_MT,DateOrder,datetime,,N,
223,9,View,bnh_Vaccine_MTandBconnect,KIT_Vaccine_MT,Age,nvarchar,,N,
224,9,View,bnh_Vaccine_MTandBconnect,KIT_Vaccine_MT,NamePT,nvarchar,,N,
225,9,View,bnh_Vaccine_MTandBconnect,KIT_Vaccine_MT,DOB,datetime,,N,
226,9,View,bnh_Vaccine_MTandBconnect,KIT_Vaccine_MT,Vaccine,nvarchar,,N,
229,10,View,BRH_nat_rev,Patient,RegistrationDTTM,datetime,,Y,Jun  7 2014 10:39PM
234,10,View,BRH_nat_rev,PatientBill,DiscountAmount,float,,N,
247,11,View,BUPA view,PatientBillableItem,Amount,float,,N,0
248,11,View,BUPA view,PatientBillableItem,Discount,float,,N,0
249,11,View,BUPA view,PatientBillableItem,NetAmount,float,,N,0
250,11,View,BUPA view,PatientBillableItem,StartDttm,datetime,,N,Jun  8 2014  2:31AM
251,11,View,BUPA view,PatientBillableItem,EndDttm,datetime,,N,Jun  8 2014  2:31AM
257,11,View,BUPA view,InsurancePlan,PayorAgreementUID,int,FK,Y,1
258,11,View,BUPA view,InsurancePlan,PayorDetailUID,int,FK,Y,0
263,11,View,BUPA view,PatientBill,CUser,int,,Y,2441
270,12,View,CRM_EpisodeDiag,Problem,Description,nvarchar,,N, Acute and transient psychotic disorder
275,12,View,CRM_EpisodeDiag,PatientProblem,UID,bigint,PK,Y,262738
277,12,View,CRM_EpisodeDiag,PatientProblem,RecordedBy,int,,N,1053
279,12,View,CRM_EpisodeDiag,PatientProblem,StatusFlag,nvarchar,,Y,D
280,12,View,CRM_EpisodeDiag,PatientProblem,ClosureComments,nvarchar,,N,
288,13,View,CRM_EpisodeGeneralInfo,PatientBilledItem,PackageItemAmount,float,,N,
293,13,View,CRM_EpisodeGeneralInfo,PatientBill,IsRefund,nvarchar,,N,Y
305,14,View,CRM_Location,CostCode,UID,int,PK,Y,1
306,14,View,CRM_Location,CostCode,Code,int,,Y,1002
307,14,View,CRM_Location,CostCode,Description,nvarchar,,Y,Supervisor Office
308,14,View,CRM_Location,LocationProfile,LocationUID,int,FK,Y,2
309,14,View,CRM_Location,LocationProfile,StatusFlag,nvarchar,,Y,A
310,14,View,CRM_Location,LocationProfile,PhoneNumber,nvarchar,,N,1001
312,14,View,CRM_Location,Location,CostCodeUID,int,FK,N,
314,14,View,CRM_Location,Location,StatusFlag,nvarchar,,Y,A
316,14,View,CRM_Location,Location,LocationURL,nvarchar,,N,
322,15,View,CRM_Patient,Patient,SPOKLUID,int,FK,N,
323,15,View,CRM_Patient,Patient,MARRYUID,int,FK,N,
326,15,View,CRM_Patient,Patient,MWhen,datetime,,Y,Feb 21 2014 12:00AM
328,15,View,CRM_Patient,Patient,RELGNUID,int,FK,N,55936
333,15,View,CRM_Patient,PatientDeceasedDetail,PatientUID,bigint,FK,Y,0
334,15,View,CRM_Patient,PatientDeceasedDetail,DeathDttm,datetime,,Y,Apr 20 2011 12:00AM
335,15,View,CRM_Patient,PatientDeceasedDetail,StatusFlag,nvarchar,,Y,D
373,18,View,CRM_PatientDeceased,PatientDeceasedDetail,IsConfirmed,nvarchar,,N,N
382,20,View,CRM_PATIENTVISITLOCATION,PatientVisitCareProvider,UID,bigint,PK,Y,1
383,20,View,CRM_PATIENTVISITLOCATION,PatientVisitCareProvider,PatientVisitUID,bigint,FK,Y,127181
384,20,View,CRM_PATIENTVISITLOCATION,PatientVisitCareProvider,CareproviderUID,int,FK,N,
385,20,View,CRM_PATIENTVISITLOCATION,PatientVisitCareProvider,StatusFlag,nvarchar,,Y,A
386,20,View,CRM_PATIENTVISITLOCATION,PatientVisitCareProvider,OwnerOrganisationUID,int,FK,Y,18
387,20,View,CRM_PATIENTVISITLOCATION,PatientVisitCareProvider,StartDttm,datetime,,N,Jun  8 2014  5:58AM
388,20,View,CRM_PATIENTVISITLOCATION,PatientVisitCareProvider,LocationUID,int,FK,N,
389,20,View,CRM_PATIENTVISITLOCATION,PatientVisitCareProvider,PACLSUID,int,FK,N,46006
402,21,View,CRM_PaymentInvoice,PatientBill,TotalAmount,float,,N,6882.6
403,21,View,CRM_PaymentInvoice,PatientBill,IsPaymentComplete,nvarchar,,Y,Y
413,22,View,CRM_PaymentRecept,PatientPaymentDetail,UID,bigint,PK,Y,1
414,22,View,CRM_PaymentRecept,PatientPaymentDetail,PatientBillUID,bigint,FK,N,
415,22,View,CRM_PaymentRecept,PatientPaymentDetail,PatientVisitUID,bigint,FK,N,
416,22,View,CRM_PaymentRecept,PatientPaymentDetail,PAYMDUID,int,FK,Y,1115
417,22,View,CRM_PaymentRecept,PatientPaymentDetail,PaidDttm,datetime,,Y,Jun  8 2014  2:35AM
418,22,View,CRM_PaymentRecept,PatientPaymentDetail,Amount,float,,Y,1
419,22,View,CRM_PaymentRecept,PatientPaymentDetail,CRDTYUID,int,FK,N,
420,22,View,CRM_PaymentRecept,PatientPaymentDetail,CardNumber,nvarchar,,N,
421,22,View,CRM_PaymentRecept,PatientPaymentDetail,StatusFlag,nvarchar,,Y,A
437,24,View,CRM_PayorOffice,PayorDetail,PhoneNumber,nvarchar,,Y,
439,24,View,CRM_PayorOffice,PayorDetail,PinCode,nvarchar,,N,25140
440,24,View,CRM_PayorOffice,PayorDetail,FaxNumber,nvarchar,,N,
441,24,View,CRM_PayorOffice,PayorDetail,CWhen,datetime,,Y,May 28 2014  2:39PM
447,24,View,CRM_PayorOffice,PinCodeMapping,PinCode,varchar,,Y,0
448,24,View,CRM_PayorOffice,PinCodeMapping,CITTYUID,int,FK,N,110646
449,24,View,CRM_PayorOffice,PinCodeMapping,AREAUID,int,FK,N,107238
450,24,View,CRM_PayorOffice,PinCodeMapping,StatusFlag,varchar,,Y,A
451,24,View,CRM_PayorOffice,ReferenceRelationShip,SourceReferenceValueUID,int,FK,Y,1
452,24,View,CRM_PayorOffice,ReferenceRelationShip,TargetReferenceValueUID,int,FK,Y,1
453,24,View,CRM_PayorOffice,ReferenceRelationShip,SourceReferenceDomainCode,nvarchar,,Y,TITLE
454,24,View,CRM_PayorOffice,ReferenceRelationShip,StatusFlag,nvarchar,,Y,D
460,25,View,CRM_PayorPlan,PayorAgreement,PBTYPUID,int,FK,N,46190
467,25,View,CRM_PayorPlan,InsurancePlan,UID,int,PK,Y,2862
470,25,View,CRM_PayorPlan,InsurancePlan,StatusFlag,nvarchar,,Y,A
471,25,View,CRM_PayorPlan,InsurancePlan,IdentifyingUID,int,FK,Y,1
481,26,View,CRM_ProductOrderItem,BillableItem,ActiveFrom,datetime,,N,
482,26,View,CRM_ProductOrderItem,BillableItem,ActiveTo,datetime,,N,
490,27,View,CRM_ProductOrderSet,OrderSet,UID,int,PK,Y,1490
491,27,View,CRM_ProductOrderSet,OrderSet,Code,nvarchar,,Y,01803GX1728
492,27,View,CRM_ProductOrderSet,OrderSet,Name,nvarchar,,Y,Change when used for LPRC (NAT)
493,27,View,CRM_ProductOrderSet,OrderSet,ActiveFrom,datetime,,Y,Sep 14 2017 12:00AM
494,27,View,CRM_ProductOrderSet,OrderSet,ActiveTo,datetime,,N,
495,27,View,CRM_ProductOrderSet,OrderSet,StatusFlag,nvarchar,,Y,A
496,27,View,CRM_ProductOrderSet,OrderSet,OrderCategoryUID,int,FK,N,98907
497,28,View,CRM_Provider,CareproviderSpecialty,CareproviderUID,int,FK,Y,28
498,28,View,CRM_Provider,CareproviderSpecialty,SpecialtyUID,int,FK,Y,1
499,28,View,CRM_Provider,CareproviderSpecialty,StatusFlag,nvarchar,,Y,A
501,28,View,CRM_Provider,Careprovider,CPTYPUID,int,FK,Y,215
502,28,View,CRM_Provider,Careprovider,StatusFlag,nvarchar,,Y,A
504,28,View,CRM_Provider,Speciality,UID,int,PK,Y,1
505,28,View,CRM_Provider,Speciality,Description,nvarchar,,Y,______ (ORTHOPAEDIST)
506,28,View,CRM_Provider,Speciality,StatusFlag,nvarchar,,Y,A
507,29,View,CT_CareProv,careProvider,UID,int,PK,Y,1
508,29,View,CT_CareProv,careProvider,SurName,nvarchar,,N,
509,29,View,CT_CareProv,careProvider,ForeName,nvarchar,,N,
510,29,View,CT_CareProv,careProvider,ActiveTo,datetime,,N,
511,29,View,CT_CareProv,careProvider,StatusFlag,nvarchar,,Y,A
512,29,View,CT_CareProv,careProvider,IsCareprovider,nvarchar,,Y,N
513,29,View,CT_CareProv,careProvider,Code,nvarchar,,N,
516,30,View,CT_Loc,Location,Description,nvarchar,,Y,Other
519,31,View,Discharge_Beg,PatientVisitID,UID,int,PK,Y,127643
524,31,View,Discharge_Beg,PatientVisitPayor,UID,bigint,PK,Y,9194
525,31,View,Discharge_Beg,PatientVisitPayor,PatientVisitUID,bigint,FK,Y,0
526,31,View,Discharge_Beg,PatientVisitPayor,PayorUID,int,FK,Y,0
527,31,View,Discharge_Beg,PatientVisitPayor,StatusFlag,nvarchar,,Y,A
534,31,View,Discharge_Beg,ReferenceValue,StatusFlag,nvarchar,,Y,A
535,31,View,Discharge_Beg,ReferenceValue,DomainCode,nvarchar,,N,ABCAN
543,31,View,Discharge_Beg,PatientVisit,CurrentLocationUID,int,FK,N,
567,34,View,MedicationForOPDTreatment,OrderCatalogItem,UID,int,PK,Y,1
568,34,View,MedicationForOPDTreatment,OrderCatalogItem,StatusFlag,nvarchar,,Y,A
569,34,View,MedicationForOPDTreatment,OrderCatalogItem,IsExecutable,nvarchar,,N,
570,34,View,MedicationForOPDTreatment,PatientBillableItem,PatientVisitUID,bigint,FK,N,0
571,34,View,MedicationForOPDTreatment,PatientBillableItem,StatusFlag,nvarchar,,Y,A
575,34,View,MedicationForOPDTreatment,PatientOrder,OrderNumber,nvarchar,,Y,0
576,34,View,MedicationForOPDTreatment,PatientOrder,RequestedDttm,datetime,,Y,Aug  4 2008 12:15AM
577,34,View,MedicationForOPDTreatment,PatientOrder,PatientUID,bigint,FK,Y,6
579,34,View,MedicationForOPDTreatment,PatientOrder,OrderRaisedBy,int,,Y,1
580,34,View,MedicationForOPDTreatment,PatientOrder,CUser,int,,Y,1
581,34,View,MedicationForOPDTreatment,PatientOrder,StatusFlag,nvarchar,,Y,A
582,34,View,MedicationForOPDTreatment,PatientOrder,OrderLocationUID,int,FK,N,
583,34,View,MedicationForOPDTreatment,PatientOrder,OrderToLocationUID,int,FK,N,
584,34,View,MedicationForOPDTreatment,PatientOrder,IsContinuous,nvarchar,,N,N
585,34,View,MedicationForOPDTreatment,PatientOrder,PRSTYPUID,int,FK,N,46150
586,34,View,MedicationForOPDTreatment,Store,UID,int,PK,Y,1
587,34,View,MedicationForOPDTreatment,Store,Description,nvarchar,,N,Pharmacy Banbueng Clinic Store
590,34,View,MedicationForOPDTreatment,vBDMSOnWard,UID,bigint,,Y,
593,34,View,MedicationForOPDTreatment,RequestDetail,UID,bigint,PK,Y,3
594,34,View,MedicationForOPDTreatment,RequestDetail,RSSTSUID,int,FK,N,4414
598,34,View,MedicationForOPDTreatment,PatientOrderDetail,IdentifyingUID,bigint,FK,N,1
599,34,View,MedicationForOPDTreatment,PatientOrderDetail,IdentifyingType,varchar,,N,BillableEvent
601,34,View,MedicationForOPDTreatment,PatientOrderDetail,EndDttm,datetime,,N,
602,34,View,MedicationForOPDTreatment,PatientOrderDetail,ORDSTUID,int,FK,Y,4412
603,34,View,MedicationForOPDTreatment,PatientOrderDetail,ORDPRUID,int,FK,Y,169
605,34,View,MedicationForOPDTreatment,PatientOrderDetail,QNUOMUID,int,FK,N,
606,34,View,MedicationForOPDTreatment,PatientOrderDetail,FRQNCUID,int,FK,N,
607,34,View,MedicationForOPDTreatment,PatientOrderDetail,Comments,nvarchar,,N,
608,34,View,MedicationForOPDTreatment,PatientOrderDetail,UnitPrice,float,,N,100
609,34,View,MedicationForOPDTreatment,PatientOrderDetail,NetAmount,float,,N,100
610,34,View,MedicationForOPDTreatment,PatientOrderDetail,OrderSubCategoryUID,int,FK,N,87
611,34,View,MedicationForOPDTreatment,PatientOrderDetail,OrderCategoryUID,int,FK,N,
612,34,View,MedicationForOPDTreatment,PatientOrderDetail,MWhen,datetime,,Y,Jan 21 2018  7:46PM
613,34,View,MedicationForOPDTreatment,PatientOrderDetail,StatusFlag,varchar,,Y,A
614,34,View,MedicationForOPDTreatment,PatientOrderDetail,OriginalUnitPrice,float,,N,100
615,34,View,MedicationForOPDTreatment,PatientOrderDetail,BillableItemUID,int,FK,N,1
616,34,View,MedicationForOPDTreatment,PatientOrderDetail,BillPackageUID,int,FK,N,0
617,34,View,MedicationForOPDTreatment,PatientOrderDetail,AllocatedQuantity,float,,N,
618,34,View,MedicationForOPDTreatment,PatientOrderDetail,CareProviderGroupUID,int,FK,N,0
619,34,View,MedicationForOPDTreatment,PatientOrderDetail,Dosage,float,,N,
620,34,View,MedicationForOPDTreatment,PatientOrderDetail,CareproviderUID,int,FK,N,1805
622,34,View,MedicationForOPDTreatment,PatientOrderDetail,CancelledDttm,datetime,,N,Jun 11 2014  3:48PM
624,34,View,MedicationForOPDTreatment,BillableItem,Description,nvarchar,,N,Consult Checkup Department
625,34,View,MedicationForOPDTreatment,BillableItem,ItemUID,int,FK,Y,0
626,34,View,MedicationForOPDTreatment,BillableItem,BSMDDUID,int,FK,Y,4358
628,34,View,MedicationForOPDTreatment,BillableItem,IsConsShareRequired,nvarchar,,N,
634,34,View,MedicationForOPDTreatment,ReferenceValue,AlternateName,nvarchar,,N,
640,34,View,MedicationForOPDTreatment,Service,ParentServiceUID,int,FK,N,
644,35,View,PA_ADM,PatientVisitID,StatusFlag,nvarchar,,Y,A
657,35,View,PA_ADM,Service,SETYPUID,int,FK,Y,234
658,35,View,PA_ADM,Service,StatusFlag,nvarchar,,Y,A
