,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,seqno,object_type,v_object_name,object_name,field_name,data_type,pk_fk,required,sample_value
41,41,41,41,41,2,View,A_Admission_Diagnosis,PatientVisit,ArrivedDttm,datetime,,N,Dec 17 2005  2:57PM
42,42,42,42,42,2,View,A_Admission_Diagnosis,PatientVisit,VISTYUID,int,FK,Y,444
43,43,43,43,43,2,View,A_Admission_Diagnosis,PatientVisit,StatusFlag,nvarchar,,Y,A
44,44,44,44,44,2,View,A_Admission_Diagnosis,PatientVisit,ReferredByUID,int,FK,N,
45,45,45,45,45,2,View,A_Admission_Diagnosis,PatientProblem,ProblemUID,int,FK,N,1
46,46,46,46,46,2,View,A_Admission_Diagnosis,PatientProblem,PatientVisitUID,bigint,FK,N,0
47,47,47,47,47,2,View,A_Admission_Diagnosis,Location,UID,int,PK,Y,1
48,48,48,52,52,3,View,A_AdmissionDiag,Patient,Forename,nvarchar,,N,VCT024
49,49,49,53,53,3,View,A_AdmissionDiag,Patient,Surname,nvarchar,,N,
50,50,50,55,55,3,View,A_AdmissionDiag,Patient,TITLEUID,int,FK,N,112425
51,51,51,57,57,3,View,A_AdmissionDiag,Patient,PASID,nvarchar,,Y,18-00-000001
52,52,52,58,58,3,View,A_AdmissionDiag,AdmissionEvent,UID,bigint,PK,Y,1
53,53,53,59,59,3,View,A_AdmissionDiag,AdmissionEvent,PatientVisitUID,bigint,FK,Y,127181
54,54,54,60,60,3,View,A_AdmissionDiag,DischargeEvent,AdmissionEventUID,bigint,FK,Y,0
55,55,55,61,61,3,View,A_AdmissionDiag,DischargeEvent,DSCSTUID,int,FK,Y,68041
56,56,56,63,63,3,View,A_AdmissionDiag,Careprovider,SurName,nvarchar,,N,
57,57,57,64,64,3,View,A_AdmissionDiag,Careprovider,Code,nvarchar,,N,
58,58,58,66,66,3,View,A_AdmissionDiag,ReferenceValue,ValueCode,nvarchar,,Y,1
59,59,59,68,68,3,View,A_AdmissionDiag,ReferenceValue,ReferenceDomainUID,int,FK,Y,1
60,60,60,72,72,3,View,A_AdmissionDiag,PatientAddress,Line4,nvarchar,,N, _.________
61,61,61,74,74,3,View,A_AdmissionDiag,PatientAddress,Pincode,nvarchar,,N,10110
62,62,62,77,77,3,View,A_AdmissionDiag,PatientAddress,AREAUID,int,FK,N,100630
63,63,63,82,82,3,View,A_AdmissionDiag,PatientVisit,StartDTTM,datetime,,Y,Sep  1 2004 12:06AM
64,64,64,86,86,3,View,A_AdmissionDiag,PatientProblem,DIAGTYPUID,int,FK,N,55625
65,65,65,88,88,3,View,A_AdmissionDiag,Location,Name,nvarchar,,Y,ICU
66,66,66,89,89,3,View,A_AdmissionDiag,Location,LOTYPUID,int,FK,Y,238
67,67,67,90,90,3,View,A_AdmissionDiag,Location,Code,nvarchar,,N,18AR
68,68,68,92,92,4,View,A_BDTAC,PayorAgreement,Code,nvarchar,,Y,1251000C010
69,69,69,93,93,4,View,A_BDTAC,PayorAgreement,Name,nvarchar,,Y,  OPD Cash 10 % _____
70,70,70,94,94,4,View,A_BDTAC,PayorAgreement,StatusFlag,nvarchar,,Y,A
71,71,71,95,95,4,View,A_BDTAC,PayorAgreement,InsuranceCompanyUID,int,FK,N,108
72,72,72,96,96,4,View,A_BDTAC,PatientBillableItem,UID,bigint,PK,Y,6
73,73,73,98,98,4,View,A_BDTAC,PatientBillableItem,PatientOrderDetailUID,bigint,FK,N,
74,74,74,100,100,4,View,A_BDTAC,PatientOrder,UID,bigint,PK,Y,20
75,75,75,101,101,4,View,A_BDTAC,PatientOrder,OrderToLocaTionLocUID,int,FK,N,
76,76,76,102,102,4,View,A_BDTAC,PatientBilledItem,UID,bigint,PK,Y,267
77,77,77,103,103,4,View,A_BDTAC,PatientBilledItem,PatientBillUID,bigint,FK,Y,1
78,78,78,104,104,4,View,A_BDTAC,PatientBilledItem,EventOccuredDttm,datetime,,Y,Jun  8 2014  2:34AM
79,79,79,105,105,4,View,A_BDTAC,PatientBilledItem,ServiceName,nvarchar,,Y,Lab Test
80,80,80,106,106,4,View,A_BDTAC,PatientBilledItem,BillableItemUID,int,FK,Y,0
81,81,81,107,107,4,View,A_BDTAC,PatientBilledItem,StatusFlag,nvarchar,,Y,A
82,82,82,108,108,4,View,A_BDTAC,PatientBilledItem,PatientBillableItemUID,bigint,FK,N,0
83,83,83,109,109,4,View,A_BDTAC,PatientBilledItem,Discount,float,,N,0
84,84,84,110,110,4,View,A_BDTAC,PatientBilledItem,NetAmount,float,,N,120
85,85,85,111,111,4,View,A_BDTAC,PatientBilledItem,ItemMultiplier,float,,N,1
86,86,86,112,112,4,View,A_BDTAC,PatientBilledItem,ItemName,nvarchar,,N,Chest AP Upright
87,87,87,113,113,4,View,A_BDTAC,PatientBilledItem,CareProviderUID,int,FK,N,1053
88,88,88,114,114,4,View,A_BDTAC,PatientBilledItem,BillPackageUID,int,FK,N,
89,89,89,115,115,4,View,A_BDTAC,PatientBilledItem,GroupUID,int,FK,N,4
90,90,90,116,116,4,View,A_BDTAC,PatientBilledItem,SubGroupUID,int,FK,N,56
91,91,91,117,117,4,View,A_BDTAC,BillPackage,UID,int,PK,Y,4300
92,92,92,118,118,4,View,A_BDTAC,BillPackage,PackageName,nvarchar,,Y, Mobile ________ ABO Group ____ 90 ___ 
93,93,93,119,119,4,View,A_BDTAC,PayorDetail,UID,int,PK,Y,2946
94,94,94,120,120,4,View,A_BDTAC,PayorDetail,Line1,nvarchar,,N,106 ____ 7 
95,95,95,121,121,4,View,A_BDTAC,PayorDetail,Line2,nvarchar,,N,106 ____ 7 
96,96,96,122,122,4,View,A_BDTAC,PayorDetail,PayorName,nvarchar,,N,18 _____ ___. (C)
97,97,97,123,123,4,View,A_BDTAC,PayorDetail,PYRACATUID,int,FK,N,45925
98,98,98,124,124,4,View,A_BDTAC,PayorDetail,Code,nvarchar,,N,123456789
99,99,99,125,125,4,View,A_BDTAC,PatientServiceEvent,PatientVisitUID,bigint,FK,Y,0
100,100,100,126,126,4,View,A_BDTAC,PatientServiceEvent,LocationUID,int,FK,N,62
101,101,101,127,127,4,View,A_BDTAC,PatientServiceEvent,IdentifyingType,nvarchar,,N,REGISTRATION
102,102,102,132,132,4,View,A_BDTAC,Patient,PATTPUID,int,FK,N,
103,103,103,133,133,4,View,A_BDTAC,PatientOrderDetail,UID,bigint,PK,Y,68
104,104,104,135,135,4,View,A_BDTAC,PatientOrderDetail,PatientOrderUID,bigint,FK,Y,0
105,105,105,136,136,4,View,A_BDTAC,PatientOrderDetail,StartDttm,datetime,,Y,Jun  8 2014 12:00AM
106,106,106,137,137,4,View,A_BDTAC,PatientOrderDetail,Quantity,float,,N,1
107,107,107,138,138,4,View,A_BDTAC,PatientOrderDetail,OrderSetUID,int,FK,N,
108,108,108,139,139,4,View,A_BDTAC,PrescriptionItem,PrescriptionUID,bigint,FK,Y,1
109,109,109,140,140,4,View,A_BDTAC,PrescriptionItem,PatientOrderDetailUID,bigint,FK,N,
110,110,110,141,141,4,View,A_BDTAC,BillableItem,UID,int,PK,Y,46362
111,111,111,143,143,4,View,A_BDTAC,BillableItem,StatusFlag,nvarchar,,Y,A
112,112,112,145,145,4,View,A_BDTAC,BillableItem,ORDCTUID,int,FK,N,0
113,113,113,147,147,4,View,A_BDTAC,PatientBill,UID,bigint,PK,Y,1
114,114,114,149,149,4,View,A_BDTAC,PatientBill,PatientUID,bigint,FK,N,6
115,115,115,150,150,4,View,A_BDTAC,PatientBill,BillGeneratedDttm,datetime,,N,Jun  8 2014  3:25AM
116,116,116,151,151,4,View,A_BDTAC,PatientBill,MUser,int,,Y,2441
117,117,117,152,152,4,View,A_BDTAC,PatientBill,StatusFlag,nvarchar,,Y,A
118,118,118,153,153,4,View,A_BDTAC,PatientBill,BillNumber,nvarchar,,N,18-CI14110001
119,119,119,154,154,4,View,A_BDTAC,PatientBill,PayorUID,int,FK,N,2614
120,120,120,156,156,4,View,A_BDTAC,InsuranceCompany,UID,int,PK,Y,2146
121,121,121,160,160,4,View,A_BDTAC,PatientVisit,ServiceUID,int,FK,N,
122,122,122,163,163,4,View,A_BDTAC,PatientVisit,OwnerOrganisationUID,int,FK,Y,18
123,123,123,164,164,4,View,A_BDTAC,PatientVisit,ExpectedDischargeDttm,datetime,,N,Dec  2 2017  4:09AM
124,124,124,165,165,4,View,A_BDTAC,PatientVisit,BedUID,int,FK,N,
125,125,125,166,166,4,View,A_BDTAC,PatientVisit,PACLSUID,int,FK,N,
126,126,126,167,167,4,View,A_BDTAC,Service,UID,int,PK,Y,1
127,127,127,168,168,4,View,A_BDTAC,Service,Code,nvarchar,,N,
128,128,128,171,171,5,View,a1,Problem,StatusFlag,nvarchar,,Y,A
129,129,129,172,172,5,View,a1,Problem,IsChapter,nvarchar,,N,N
130,130,130,175,175,6,View,BDMSMasterPayor,PayorAgreement,ActiveFrom,datetime,,Y,Jun 10 2004 12:00AM
131,131,131,176,176,6,View,BDMSMasterPayor,PayorAgreement,ActiveTo,datetime,,N,
132,132,132,179,179,6,View,BDMSMasterPayor,PayorAgreement,PolicyMasterUID,int,FK,N,8
133,133,133,180,180,6,View,BDMSMasterPayor,PayorDetail,ContactPersonName,nvarchar,,Y,
134,134,134,181,181,6,View,BDMSMasterPayor,PayorDetail,StatusFlag,nvarchar,,Y,A
135,135,135,184,184,6,View,BDMSMasterPayor,PayorDetail,InsuranceCompanyUID,int,FK,N,2
136,136,136,185,185,6,View,BDMSMasterPayor,PolicyMaster,UID,int,PK,Y,1
137,137,137,186,186,6,View,BDMSMasterPayor,PolicyMaster,PolicyName,nvarchar,,Y,01.Cover all
138,138,138,187,187,6,View,BDMSMasterPayor,PolicyMaster,StatusFlag,nvarchar,,Y,A
139,139,139,189,189,6,View,BDMSMasterPayor,InsuranceCompany,CompanyName,nvarchar,,Y,(_______) SCG Card(________ _____ ___________)
140,140,140,190,190,6,View,BDMSMasterPayor,InsuranceCompany,Description,nvarchar,,N,18A0005B058
141,141,141,191,191,6,View,BDMSMasterPayor,InsuranceCompany,StatusFlag,nvarchar,,Y,A
142,142,142,192,192,6,View,BDMSMasterPayor,InsuranceCompany,ActiveFrom,datetime,,N,Dec 30 2011 12:00AM
143,143,143,193,193,6,View,BDMSMasterPayor,InsuranceCompany,Activeto,datetime,,N,Jan 29 2012 12:00AM
144,144,144,194,194,7,View,BDMSReportPatientAllergyForCheck,PatientAllergy,UID,bigint,PK,Y,0
145,145,145,195,195,7,View,BDMSReportPatientAllergyForCheck,PatientAllergy,AllergyDescription,nvarchar,,N,#NAME?
146,146,146,196,196,7,View,BDMSReportPatientAllergyForCheck,PatientAllergy,ALGTYUID,int,FK,N,95
147,147,147,197,197,7,View,BDMSReportPatientAllergyForCheck,PatientAllergy,PatientUID,bigint,FK,Y,6
148,148,148,198,198,7,View,BDMSReportPatientAllergyForCheck,PatientAllergy,AllergicTo,nvarchar,,N,Sulfa group 
149,149,149,199,199,7,View,BDMSReportPatientAllergyForCheck,PatientAllergy,ALGSTUID,int,FK,N,46027
150,150,150,200,200,7,View,BDMSReportPatientAllergyForCheck,PatientAllergy,AllergySymptoms,nvarchar,,N,
151,151,151,201,201,7,View,BDMSReportPatientAllergyForCheck,PatientAllergicDrug,PatientAllergyUID,bigint,FK,Y,0
152,152,152,202,202,7,View,BDMSReportPatientAllergyForCheck,PatientAllergicDrug,DrugName,nvarchar,,Y,0707I Sulfa group
153,153,153,203,203,7,View,BDMSReportPatientAllergyForCheck,PatientAllergicDrug,IdentifyingType,nvarchar,,N,FREE
154,154,154,207,207,8,View,BNH_Vaccine_Bconnect,PatientOrder,PatientVisitUID,bigint,FK,Y,127181
155,155,155,212,212,8,View,BNH_Vaccine_Bconnect,PatientOrderDetail,ItemName,nvarchar,,N,
156,156,156,214,214,8,View,BNH_Vaccine_Bconnect,PatientOrderDetail,CancelledByUserUID,int,FK,N,2444
157,157,157,215,215,8,View,BNH_Vaccine_Bconnect,BillableItem,ItemName,nvarchar,,Y,-
158,158,158,216,216,8,View,BNH_Vaccine_Bconnect,BillableItem,ServiceUID,int,FK,N,
159,159,159,217,217,8,View,BNH_Vaccine_Bconnect,BillableItem,Code,nvarchar,,N,/SSH18A0705A000O-03
160,160,160,221,221,9,View,bnh_Vaccine_MTandBconnect,KIT_Vaccine_MT,HN,nvarchar,,N,
161,161,161,222,222,9,View,bnh_Vaccine_MTandBconnect,KIT_Vaccine_MT,DateOrder,datetime,,N,
162,162,162,223,223,9,View,bnh_Vaccine_MTandBconnect,KIT_Vaccine_MT,Age,nvarchar,,N,
163,163,163,224,224,9,View,bnh_Vaccine_MTandBconnect,KIT_Vaccine_MT,NamePT,nvarchar,,N,
164,164,164,225,225,9,View,bnh_Vaccine_MTandBconnect,KIT_Vaccine_MT,DOB,datetime,,N,
165,165,165,226,226,9,View,bnh_Vaccine_MTandBconnect,KIT_Vaccine_MT,Vaccine,nvarchar,,N,
166,166,166,229,229,10,View,BRH_nat_rev,Patient,RegistrationDTTM,datetime,,Y,Jun  7 2014 10:39PM
167,167,167,234,234,10,View,BRH_nat_rev,PatientBill,DiscountAmount,float,,N,
168,168,168,247,247,11,View,BUPA view,PatientBillableItem,Amount,float,,N,0
169,169,169,248,248,11,View,BUPA view,PatientBillableItem,Discount,float,,N,0
170,170,170,249,249,11,View,BUPA view,PatientBillableItem,NetAmount,float,,N,0
171,171,171,250,250,11,View,BUPA view,PatientBillableItem,StartDttm,datetime,,N,Jun  8 2014  2:31AM
172,172,172,251,251,11,View,BUPA view,PatientBillableItem,EndDttm,datetime,,N,Jun  8 2014  2:31AM
173,173,173,257,257,11,View,BUPA view,InsurancePlan,PayorAgreementUID,int,FK,Y,1
174,174,174,258,258,11,View,BUPA view,InsurancePlan,PayorDetailUID,int,FK,Y,0
175,175,175,263,263,11,View,BUPA view,PatientBill,CUser,int,,Y,2441
176,176,176,270,270,12,View,CRM_EpisodeDiag,Problem,Description,nvarchar,,N, Acute and transient psychotic disorder
177,177,177,275,275,12,View,CRM_EpisodeDiag,PatientProblem,UID,bigint,PK,Y,262738
178,178,178,277,277,12,View,CRM_EpisodeDiag,PatientProblem,RecordedBy,int,,N,1053
179,179,179,279,279,12,View,CRM_EpisodeDiag,PatientProblem,StatusFlag,nvarchar,,Y,D
180,180,180,280,280,12,View,CRM_EpisodeDiag,PatientProblem,ClosureComments,nvarchar,,N,
181,181,181,288,288,13,View,CRM_EpisodeGeneralInfo,PatientBilledItem,PackageItemAmount,float,,N,
182,182,182,293,293,13,View,CRM_EpisodeGeneralInfo,PatientBill,IsRefund,nvarchar,,N,Y
183,183,183,305,305,14,View,CRM_Location,CostCode,UID,int,PK,Y,1
184,184,184,306,306,14,View,CRM_Location,CostCode,Code,int,,Y,1002
185,185,185,307,307,14,View,CRM_Location,CostCode,Description,nvarchar,,Y,Supervisor Office
186,186,186,308,308,14,View,CRM_Location,LocationProfile,LocationUID,int,FK,Y,2
187,187,187,309,309,14,View,CRM_Location,LocationProfile,StatusFlag,nvarchar,,Y,A
188,188,188,310,310,14,View,CRM_Location,LocationProfile,PhoneNumber,nvarchar,,N,1001
189,189,189,312,312,14,View,CRM_Location,Location,CostCodeUID,int,FK,N,
190,190,190,314,314,14,View,CRM_Location,Location,StatusFlag,nvarchar,,Y,A
191,191,191,316,316,14,View,CRM_Location,Location,LocationURL,nvarchar,,N,
192,192,192,322,322,15,View,CRM_Patient,Patient,SPOKLUID,int,FK,N,
193,193,193,323,323,15,View,CRM_Patient,Patient,MARRYUID,int,FK,N,
194,194,194,326,326,15,View,CRM_Patient,Patient,MWhen,datetime,,Y,Feb 21 2014 12:00AM
195,195,195,328,328,15,View,CRM_Patient,Patient,RELGNUID,int,FK,N,55936
196,196,196,333,333,15,View,CRM_Patient,PatientDeceasedDetail,PatientUID,bigint,FK,Y,0
197,197,197,334,334,15,View,CRM_Patient,PatientDeceasedDetail,DeathDttm,datetime,,Y,Apr 20 2011 12:00AM
198,198,198,335,335,15,View,CRM_Patient,PatientDeceasedDetail,StatusFlag,nvarchar,,Y,D
199,199,199,373,373,18,View,CRM_PatientDeceased,PatientDeceasedDetail,IsConfirmed,nvarchar,,N,N
200,200,200,382,382,20,View,CRM_PATIENTVISITLOCATION,PatientVisitCareProvider,UID,bigint,PK,Y,1
201,201,201,383,383,20,View,CRM_PATIENTVISITLOCATION,PatientVisitCareProvider,PatientVisitUID,bigint,FK,Y,127181
202,202,202,384,384,20,View,CRM_PATIENTVISITLOCATION,PatientVisitCareProvider,CareproviderUID,int,FK,N,
203,203,203,385,385,20,View,CRM_PATIENTVISITLOCATION,PatientVisitCareProvider,StatusFlag,nvarchar,,Y,A
204,204,204,386,386,20,View,CRM_PATIENTVISITLOCATION,PatientVisitCareProvider,OwnerOrganisationUID,int,FK,Y,18
205,205,205,387,387,20,View,CRM_PATIENTVISITLOCATION,PatientVisitCareProvider,StartDttm,datetime,,N,Jun  8 2014  5:58AM
206,206,206,388,388,20,View,CRM_PATIENTVISITLOCATION,PatientVisitCareProvider,LocationUID,int,FK,N,
207,207,207,389,389,20,View,CRM_PATIENTVISITLOCATION,PatientVisitCareProvider,PACLSUID,int,FK,N,46006
208,208,208,402,402,21,View,CRM_PaymentInvoice,PatientBill,TotalAmount,float,,N,6882.6
209,209,209,403,403,21,View,CRM_PaymentInvoice,PatientBill,IsPaymentComplete,nvarchar,,Y,Y
210,210,210,413,413,22,View,CRM_PaymentRecept,PatientPaymentDetail,UID,bigint,PK,Y,1
211,211,211,414,414,22,View,CRM_PaymentRecept,PatientPaymentDetail,PatientBillUID,bigint,FK,N,
212,212,212,415,415,22,View,CRM_PaymentRecept,PatientPaymentDetail,PatientVisitUID,bigint,FK,N,
213,213,213,416,416,22,View,CRM_PaymentRecept,PatientPaymentDetail,PAYMDUID,int,FK,Y,1115
214,214,214,417,417,22,View,CRM_PaymentRecept,PatientPaymentDetail,PaidDttm,datetime,,Y,Jun  8 2014  2:35AM
215,215,215,418,418,22,View,CRM_PaymentRecept,PatientPaymentDetail,Amount,float,,Y,1
216,216,216,419,419,22,View,CRM_PaymentRecept,PatientPaymentDetail,CRDTYUID,int,FK,N,
217,217,217,420,420,22,View,CRM_PaymentRecept,PatientPaymentDetail,CardNumber,nvarchar,,N,
218,218,218,421,421,22,View,CRM_PaymentRecept,PatientPaymentDetail,StatusFlag,nvarchar,,Y,A
219,219,219,437,437,24,View,CRM_PayorOffice,PayorDetail,PhoneNumber,nvarchar,,Y,
220,220,220,439,439,24,View,CRM_PayorOffice,PayorDetail,PinCode,nvarchar,,N,25140
221,221,221,440,440,24,View,CRM_PayorOffice,PayorDetail,FaxNumber,nvarchar,,N,
222,222,222,441,441,24,View,CRM_PayorOffice,PayorDetail,CWhen,datetime,,Y,May 28 2014  2:39PM
223,223,223,447,447,24,View,CRM_PayorOffice,PinCodeMapping,PinCode,varchar,,Y,0
224,224,224,448,448,24,View,CRM_PayorOffice,PinCodeMapping,CITTYUID,int,FK,N,110646
225,225,225,449,449,24,View,CRM_PayorOffice,PinCodeMapping,AREAUID,int,FK,N,107238
226,226,226,450,450,24,View,CRM_PayorOffice,PinCodeMapping,StatusFlag,varchar,,Y,A
227,227,227,451,451,24,View,CRM_PayorOffice,ReferenceRelationShip,SourceReferenceValueUID,int,FK,Y,1
228,228,228,452,452,24,View,CRM_PayorOffice,ReferenceRelationShip,TargetReferenceValueUID,int,FK,Y,1
229,229,229,453,453,24,View,CRM_PayorOffice,ReferenceRelationShip,SourceReferenceDomainCode,nvarchar,,Y,TITLE
230,230,230,454,454,24,View,CRM_PayorOffice,ReferenceRelationShip,StatusFlag,nvarchar,,Y,D
231,231,231,460,460,25,View,CRM_PayorPlan,PayorAgreement,PBTYPUID,int,FK,N,46190
232,232,232,467,467,25,View,CRM_PayorPlan,InsurancePlan,UID,int,PK,Y,2862
233,233,233,470,470,25,View,CRM_PayorPlan,InsurancePlan,StatusFlag,nvarchar,,Y,A
234,234,234,471,471,25,View,CRM_PayorPlan,InsurancePlan,IdentifyingUID,int,FK,Y,1
235,235,235,481,481,26,View,CRM_ProductOrderItem,BillableItem,ActiveFrom,datetime,,N,
236,236,236,482,482,26,View,CRM_ProductOrderItem,BillableItem,ActiveTo,datetime,,N,
237,237,237,490,490,27,View,CRM_ProductOrderSet,OrderSet,UID,int,PK,Y,1490
238,238,238,491,491,27,View,CRM_ProductOrderSet,OrderSet,Code,nvarchar,,Y,01803GX1728
239,239,239,492,492,27,View,CRM_ProductOrderSet,OrderSet,Name,nvarchar,,Y,Change when used for LPRC (NAT)
240,240,240,493,493,27,View,CRM_ProductOrderSet,OrderSet,ActiveFrom,datetime,,Y,Sep 14 2017 12:00AM
241,241,241,494,494,27,View,CRM_ProductOrderSet,OrderSet,ActiveTo,datetime,,N,
242,242,242,495,495,27,View,CRM_ProductOrderSet,OrderSet,StatusFlag,nvarchar,,Y,A
243,243,243,496,496,27,View,CRM_ProductOrderSet,OrderSet,OrderCategoryUID,int,FK,N,98907
244,244,244,497,497,28,View,CRM_Provider,CareproviderSpecialty,CareproviderUID,int,FK,Y,28
245,245,245,498,498,28,View,CRM_Provider,CareproviderSpecialty,SpecialtyUID,int,FK,Y,1
246,246,246,499,499,28,View,CRM_Provider,CareproviderSpecialty,StatusFlag,nvarchar,,Y,A
247,247,247,501,501,28,View,CRM_Provider,Careprovider,CPTYPUID,int,FK,Y,215
248,248,248,502,502,28,View,CRM_Provider,Careprovider,StatusFlag,nvarchar,,Y,A
249,249,249,504,504,28,View,CRM_Provider,Speciality,UID,int,PK,Y,1
250,250,250,505,505,28,View,CRM_Provider,Speciality,Description,nvarchar,,Y,______ (ORTHOPAEDIST)
251,251,251,506,506,28,View,CRM_Provider,Speciality,StatusFlag,nvarchar,,Y,A
252,252,252,507,507,29,View,CT_CareProv,careProvider,UID,int,PK,Y,1
253,253,253,508,508,29,View,CT_CareProv,careProvider,SurName,nvarchar,,N,
254,254,254,509,509,29,View,CT_CareProv,careProvider,ForeName,nvarchar,,N,
255,255,255,510,510,29,View,CT_CareProv,careProvider,ActiveTo,datetime,,N,
256,256,256,511,511,29,View,CT_CareProv,careProvider,StatusFlag,nvarchar,,Y,A
257,257,257,512,512,29,View,CT_CareProv,careProvider,IsCareprovider,nvarchar,,Y,N
258,258,258,513,513,29,View,CT_CareProv,careProvider,Code,nvarchar,,N,
259,259,259,516,516,30,View,CT_Loc,Location,Description,nvarchar,,Y,Other
260,260,260,519,519,31,View,Discharge_Beg,PatientVisitID,UID,int,PK,Y,127643
261,261,261,524,524,31,View,Discharge_Beg,PatientVisitPayor,UID,bigint,PK,Y,9194
262,262,262,525,525,31,View,Discharge_Beg,PatientVisitPayor,PatientVisitUID,bigint,FK,Y,0
263,263,263,526,526,31,View,Discharge_Beg,PatientVisitPayor,PayorUID,int,FK,Y,0
264,264,264,527,527,31,View,Discharge_Beg,PatientVisitPayor,StatusFlag,nvarchar,,Y,A
265,265,265,534,534,31,View,Discharge_Beg,ReferenceValue,StatusFlag,nvarchar,,Y,A
266,266,266,535,535,31,View,Discharge_Beg,ReferenceValue,DomainCode,nvarchar,,N,ABCAN
267,267,267,543,543,31,View,Discharge_Beg,PatientVisit,CurrentLocationUID,int,FK,N,
268,268,268,567,567,34,View,MedicationForOPDTreatment,OrderCatalogItem,UID,int,PK,Y,1
